fold,search,run,best_optimizer,n_test,RMSE,MAE,R2,best_val_loss,best_params,epochs,DM_stat,DM_pvalue,run_id,is_ensemble
fold2_search5_run2,5.0,2.0,Adam,44.0,0.0953031182289123,0.0807936489582061,-0.5061660775367149,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,0.6303055379026663,0.5284947004254059,,
fold2_search5_run3,5.0,3.0,Adam,44.0,0.1158012971282005,0.0948313027620315,-1.2237474391975631,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,1.6279118333335927,0.10354358191570556,,
fold2_search5_run4,5.0,4.0,Adam,44.0,0.0790763050317764,0.0612630471587181,-0.0369344444008123,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,-0.31443259370921117,0.753192504325757,,
fold2_search5_run5,5.0,5.0,Adam,44.0,0.1222530379891395,0.0957363173365593,-1.478437565015207,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,2.034984531241606,0.04185242947199219,,
fold2_search5_run6,5.0,6.0,Adam,44.0,0.1191964447498321,0.0878169387578964,-1.356054342941616,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,1.4821731509529672,0.1382942286432638,,
fold2_search5_run7,5.0,7.0,Adam,44.0,0.1194815710186958,0.0964154079556465,-1.3673392355379472,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,1.9674293610438347,0.04913373218767325,,
fold2_search5_run8,5.0,8.0,Adam,44.0,0.082758143544197,0.0669422000646591,-0.1357432394844848,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,-0.1064790668202222,0.9152022632366277,,
fold2_search5_run9,5.0,9.0,Adam,44.0,0.1395254135131836,0.1198331117630004,-2.228236274854837,0.0044121798127889,"{'optimizer': 'Adam', 'lookback': 8, 'units': 8, 'dropout': 0.4128237556200936, 'lr': 0.0004057591103706667, 'batch': 8}",112.0,3.412938839257564,0.0006426636343630499,,
fold2_search6_ens,6.0,,,,0.14440606633354922,0.12905894383017802,-2.5448633807975636,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",,3.3503116092330214,0.0008072069701079432,Ensemble,True
fold2_search6_run1,6.0,1.0,Adam,39.0,0.1737755089998245,0.139089897274971,-4.133408875346275,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,3.31585661292078,0.0009136269218363857,,
fold2_search6_run10,6.0,10.0,Adam,39.0,0.1975187361240387,0.1788385361433029,-5.6320111385097285,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,5.376514297466442,7.59416713957961e-08,,
fold2_search6_run2,6.0,2.0,Adam,39.0,0.1438720822334289,0.125979796051979,-2.518695624352408,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,3.001650226613883,0.0026852051088677165,,
fold2_search6_run3,6.0,3.0,Adam,39.0,0.1214526742696762,0.1001958101987838,-1.507510672701934,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,2.619353684710781,0.008809655569076424,,
fold2_search6_run4,6.0,4.0,Adam,39.0,0.2988564074039459,0.2753444612026214,-14.182866277059826,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,8.612993948403023,0.0,,
fold2_search6_run5,6.0,5.0,Adam,39.0,0.1103175953030586,0.0811168327927589,-1.068798460997638,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,0.9596215049043102,0.3372457418394379,,
fold2_search6_run6,6.0,6.0,Adam,39.0,0.3239527940750122,0.3064721524715423,-16.839886316040328,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,8.867726378132742,0.0,,
fold2_search6_run7,6.0,7.0,Adam,39.0,0.1146321222186088,0.0912356674671173,-1.2337849537016117,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,1.559336120551425,0.11891684684470016,,
fold2_search6_run8,6.0,8.0,Adam,39.0,0.1203446388244628,0.1011831238865852,-1.461966806799658,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,2.1047391048649238,0.0353140245110366,,
fold2_search6_run9,6.0,9.0,Adam,39.0,0.0853875204920768,0.0662759765982627,-0.2394170668419071,0.0050220871344208,"{'optimizer': 'Adam', 'lookback': 13, 'units': 16, 'dropout': 0.41955682362293933, 'lr': 0.00015261509680400187, 'batch': 8}",150.0,-0.08032125185964444,0.9359817562797919,,
